iter	Passed	Remaining
245	7416	7657
246	7444	7625
247	7475	7596
248	7505	7565
249	7534	7534
250	7561	7501
251	7593	7473
252	7624	7443
253	7655	7414
254	7682	7381
255	7714	7353
256	7743	7321
257	7773	7291
258	7802	7260
259	7830	7228
260	7856	7194
261	7887	7164
262	7913	7131
263	7943	7101
264	7974	7071
265	8000	7037
266	8030	7007
267	8061	6978
268	8092	6949
269	8119	6916
270	8150	6886
271	8180	6857
272	8211	6827
273	8242	6798
274	8270	6766
275	8300	6736
276	8330	6706
277	8357	6674
278	8388	6644
279	8415	6612
280	8446	6582
281	8476	6552
282	8507	6523
283	8536	6492
284	8565	6461
285	8598	6433
286	8628	6403
287	8669	6381
288	8700	6351
289	8731	6322
290	8758	6290
291	8789	6260
292	8820	6231
293	8848	6199
294	8876	6168
295	8907	6138
296	8939	6110
297	8971	6081
298	9004	6053
299	9039	6026
300	9085	6006
301	9118	5978
302	9150	5949
303	9184	5921
304	9212	5889
305	9239	5857
306	9269	5827
307	9299	5796
308	9325	5764
309	9356	5734
310	9387	5704
311	9417	5674
312	9443	5641
313	9473	5611
314	9502	5580
315	9532	5550
316	9558	5517
317	9589	5488
318	9621	5459
319	9648	5427
320	9679	5397
321	9705	5365
322	9732	5333
323	9761	5302
324	9791	5272
325	9821	5242
326	9851	5212
327	9880	5181
328	9910	5151
329	9939	5120
330	9965	5087
331	9995	5058
332	10025	5027
333	10056	4997
334	10089	4969
335	10122	4940
336	10150	4909
337	10183	4880
338	10213	4850
339	10244	4820
340	10273	4790
341	10303	4760
342	10333	4729
343	10361	4698
344	10387	4666
345	10416	4636
346	10447	4606
347	10475	4575
348	10504	4544
349	10534	4514
350	10565	4485
351	10596	4455
352	10627	4425
353	10658	4396
354	10690	4366
355	10720	4336
356	10747	4305
357	10776	4274
358	10802	4242
359	10832	4212
360	10862	4182
361	10891	4152
362	10921	4121
363	10952	4092
364	10980	4061
365	11010	4031
366	11036	3999
367	11067	3970
368	11095	3939
369	11121	3907
370	11153	3878
371	11183	3848
372	11211	3817
373	11241	3787
374	11270	3756
375	11300	3726
376	11329	3696
377	11355	3665
378	11383	3634
379	11409	3603
380	11439	3572
381	11470	3543
382	11499	3513
383	11525	3481
384	11553	3451
385	11586	3421
386	11618	3392
387	11649	3362
388	11678	3332
389	11705	3301
390	11735	3271
391	11761	3240
392	11791	3210
393	11821	3180
394	11851	3150
395	11880	3120
396	11907	3089
397	11936	3058
398	11964	3028
399	11994	2998
400	12020	2967
401	12050	2937
